iter	Passed	Remaining
623	2763	1665
624	2770	1662
625	2773	1657
626	2777	1652
627	2781	1647
628	2787	1644
629	2791	1639
630	2796	1635
631	2800	1630
632	2805	1626
633	2809	1621
634	2814	1617
635	2818	1612
636	2823	1608
637	2826	1603
638	2830	1599
639	2835	1594
640	2838	1590
641	2843	1585
642	2847	1581
643	2852	1576
644	2856	1572
645	2860	1567
646	2864	1562
647	2868	1558
648	2872	1553
649	2876	1548
650	2880	1544
651	2883	1539
652	2887	1534
653	2891	1529
654	2895	1525
655	2899	1520
656	2903	1515
657	2907	1511
658	2911	1506
659	2915	1501
660	2919	1497
661	2924	1492
662	2927	1488
663	2932	1483
664	2936	1479
665	2940	1474
666	2944	1469
667	2948	1465
668	2952	1460
669	2956	1456
670	2960	1451
671	2965	1447
672	2969	1442
673	2973	1437
674	2976	1433
675	2982	1429
676	2986	1424
677	2990	1420
678	2995	1416
679	3000	1411
680	3004	1407
681	3009	1403
682	3014	1398
683	3019	1394
684	3024	1390
685	3029	1386
686	3034	1382
687	3039	1378
688	3044	1374
689	3049	1370
690	3054	1365
691	3059	1361
692	3064	1357
693	3070	1353
694	3075	1349
695	3080	1345
696	3085	1341
697	3090	1337
698	3094	1332
699	3097	1327
700	3102	1323
701	3107	1319
702	3112	1314
703	3116	1310
704	3122	1306
705	3126	1301
706	3131	1297
707	3135	1293
708	3139	1288
709	3142	1283
710	3146	1278
711	3149	1274
712	3152	1269
713	3156	1264
714	3159	1259
715	3163	1254
716	3167	1250
717	3171	1245
718	3176	1241
719	3179	1236
720	3183	1231
721	3186	1226
722	3189	1221
723	3193	1217
724	3197	1212
725	3201	1208
726	3206	1204
727	3211	1199
728	3215	1195
729	3221	1191
730	3225	1187
731	3231	1182
732	3235	1178
733	3239	1173
734	3242	1169
735	3246	1164
736	3249	1159
737	3253	1154
738	3256	1150
739	3259	1145
740	3262	1140
741	3266	1135
742	3269	1130
743	3272	1126
744	3276	1121
745	3281	1117
746	3286	1112
747	3290	1108
748	3295	1104
749	3301	1100
750	3305	1096
751	3310	1091
752	3315	1087
753	3319	1083
754	3324	1078
755	3329	1074
756	3333	1070
757	3337	1065
758	3343	1061
759	3348	1057
760	3353	1053
761	3358	1048
762	3362	1044
763	3367	1040
764	3371	1035
765	3376	1031
766	3381	1027
767	3386	1022
768	3390	1018
769	3395	1014
770	3399	1009
771	3404	1005
772	3408	1001
773	3413	996
774	3419	992
775	3423	988
776	3428	983
777	3432	979
778	3437	975
779	3441	970
780	3447	966
781	3452	962
782	3457	958
783	3463	954
784	3468	949
785	3472	945
786	3477	941
787	3482	936
788	3487	932
789	3493	928
790	3497	924
791	3502	919
792	3506	915
793	3511	911
794	3516	906
795	3521	902
796	3526	898
797	3531	893
798	3534	889
799	3538	884
800	3542	880
801	3546	875
802	3550	871
803	3555	866
804	3560	862
805	3564	858
806	3569	853
807	3573	849
808	3578	844
809	3584	840
810	3588	836
811	3593	831
812	3598	827
813	3603	823
814	3607	818
815	3612	814
816	3618	810
817	3623	806
818	3628	801
819	3632	797
820	3637	793
821	3642	788
822	3646	784
823	3651	779
824	3656	775
825	3661	771
826	3666	767
827	3671	762
828	3676	758
829	3681	754
830	3686	749
831	3691	745
832	3695	740
833	3700	736
834	3705	732
835	3709	727
836	3714	723
837	3720	719
838	3724	714
839	3729	710
840	3734	706
841	3738	701
842	3742	696
843	3746	692
844	3749	687
845	3753	683
846	3756	678
847	3759	673
848	3762	669
849	3765	664
850	3769	659
851	3772	655
852	3775	650
853	3780	646
854	3783	641
855	3786	637
856	3790	632
857	3794	627
858	3797	623
859	3800	618
860	3804	614
861	3808	609
862	3812	605
863	3815	600
864	3818	595
865	3822	591
866	3826	586
867	3830	582
868	3833	577
869	3837	573
870	3841	568
871	3844	564
872	3847	559
873	3851	555
874	3855	550
875	3859	546
876	3863	541
877	3867	537
878	3871	532
879	3874	528
880	3877	523
881	3881	519
882	3885	514
883	3889	510
884	3893	505
885	3897	501
886	3901	497
887	3904	492
888	3908	488
889	3912	483
890	3916	479
891	3921	474
892	3925	470
893	3930	466
894	3935	461
895	3940	457
896	3945	453
897	3950	448
898	3955	444
899	3960	440
900	3965	435
901	3970	431
902	3974	426
903	3978	422
904	3981	417
905	3985	413
906	3988	408
907	3992	404
908	3995	399
909	3998	395
910	4001	390
911	4005	386
912	4008	382
913	4012	377
914	4015	373
915	4019	368
916	4023	364
917	4026	359
918	4029	355
919	4033	350
920	4037	346
921	4040	341
922	4044	337
923	4048	332
924	4052	328
925	4055	324
926	4058	319
927	4062	315
928	4066	310
929	4070	306
930	4073	301
931	4077	297
932	4081	293
933	4085	288
934	4088	284
935	4092	279
936	4096	275
937	4099	270
938	4102	266
939	4106	262
940	4110	257
941	4114	253
942	4118	248
943	4121	244
944	4125	240
945	4128	235
946	4131	231
947	4135	226
948	4138	222
949	4141	217
950	4145	213
951	4148	209
952	4151	204
953	4155	200
954	4159	195
955	4162	191
956	4166	187
957	4171	182
958	4175	178
959	4180	174
960	4185	169
961	4190	165
962	4195	161
963	4199	156
964	4205	152
965	4210	148
966	4215	143
967	4220	139
968	4225	135
969	4231	130
970	4236	126
971	4241	122
972	4247	117
973	4252	113
974	4256	109
975	4262	104
976	4267	100
977	4272	96
978	4277	91
979	4282	87
980	4286	83
981	4292	78
982	4298	74
983	4303	69
984	4307	65
985	4311	61
986	4315	56
987	4318	52
988	4322	48
989	4325	43
990	4329	39
991	4333	34
992	4338	30
993	4343	26
994	4347	21
995	4353	17
996	4357	13
997	4361	8
998	4364	4
999	4368	0
